,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
1,USGS,02085070,2018-11-03 00:00,EDT,77.5,P,2.00,P
2,USGS,02085070,2018-11-03 00:15,EDT,77.5,P,2.00,P
3,USGS,02085070,2018-11-03 00:30,EDT,77.5,P,2.00,P
4,USGS,02085070,2018-11-03 00:45,EDT,77.5,P,2.00,P
5,USGS,02085070,2018-11-03 01:00,EDT,77.5,P,2.00,P
6,USGS,02085070,2018-11-03 01:15,EDT,77.5,P,2.00,P
7,USGS,02085070,2018-11-03 01:30,EDT,75.9,P,1.99,P
8,USGS,02085070,2018-11-03 01:45,EDT,77.5,P,2.00,P
9,USGS,02085070,2018-11-03 02:00,EDT,75.9,P,1.99,P
10,USGS,02085070,2018-11-03 02:15,EDT,75.9,P,1.99,P
11,USGS,02085070,2018-11-03 02:30,EDT,75.9,P,1.99,P
12,USGS,02085070,2018-11-03 02:45,EDT,75.9,P,1.99,P
13,USGS,02085070,2018-11-03 03:00,EDT,75.9,P,1.99,P
14,USGS,02085070,2018-11-03 03:15,EDT,75.9,P,1.99,P
15,USGS,02085070,2018-11-03 03:30,EDT,75.9,P,1.99,P
16,USGS,02085070,2018-11-03 03:45,EDT,75.9,P,1.99,P
17,USGS,02085070,2018-11-03 04:00,EDT,74.4,P,1.98,P
18,USGS,02085070,2018-11-03 04:15,EDT,75.9,P,1.99,P
19,USGS,02085070,2018-11-03 04:30,EDT,74.4,P,1.98,P
20,USGS,02085070,2018-11-03 04:45,EDT,74.4,P,1.98,P
21,USGS,02085070,2018-11-03 05:00,EDT,74.4,P,1.98,P
22,USGS,02085070,2018-11-03 05:15,EDT,74.4,P,1.98,P
23,USGS,02085070,2018-11-03 05:30,EDT,74.4,P,1.98,P
24,USGS,02085070,2018-11-03 05:45,EDT,74.4,P,1.98,P
25,USGS,02085070,2018-11-03 06:00,EDT,74.4,P,1.98,P
26,USGS,02085070,2018-11-03 06:15,EDT,73.0,P,1.97,P
27,USGS,02085070,2018-11-03 06:30,EDT,73.0,P,1.97,P
28,USGS,02085070,2018-11-03 06:45,EDT,73.0,P,1.97,P
29,USGS,02085070,2018-11-03 07:00,EDT,73.0,P,1.97,P
30,USGS,02085070,2018-11-03 07:15,EDT,73.0,P,1.97,P
31,USGS,02085070,2018-11-03 07:30,EDT,73.0,P,1.97,P
32,USGS,02085070,2018-11-03 07:45,EDT,73.0,P,1.97,P
33,USGS,02085070,2018-11-03 08:00,EDT,73.0,P,1.97,P
34,USGS,02085070,2018-11-03 08:15,EDT,71.5,P,1.96,P
35,USGS,02085070,2018-11-03 08:30,EDT,71.5,P,1.96,P
36,USGS,02085070,2018-11-03 08:45,EDT,71.5,P,1.96,P
37,USGS,02085070,2018-11-03 09:00,EDT,71.5,P,1.96,P
38,USGS,02085070,2018-11-03 09:15,EDT,71.5,P,1.96,P
39,USGS,02085070,2018-11-03 09:30,EDT,70.1,P,1.95,P
40,USGS,02085070,2018-11-03 09:45,EDT,70.1,P,1.95,P
41,USGS,02085070,2018-11-03 10:00,EDT,70.1,P,1.95,P
42,USGS,02085070,2018-11-03 10:15,EDT,70.1,P,1.95,P
43,USGS,02085070,2018-11-03 10:30,EDT,70.1,P,1.95,P
44,USGS,02085070,2018-11-03 10:45,EDT,70.1,P,1.95,P
45,USGS,02085070,2018-11-03 11:00,EDT,70.1,P,1.95,P
46,USGS,02085070,2018-11-03 11:15,EDT,70.1,P,1.95,P
47,USGS,02085070,2018-11-03 11:30,EDT,70.1,P,1.95,P
48,USGS,02085070,2018-11-03 11:45,EDT,71.5,P,1.96,P
49,USGS,02085070,2018-11-03 12:00,EDT,70.1,P,1.95,P
50,USGS,02085070,2018-11-03 12:15,EDT,70.1,P,1.95,P
51,USGS,02085070,2018-11-03 12:30,EDT,68.7,P,1.94,P
52,USGS,02085070,2018-11-03 12:45,EDT,70.1,P,1.95,P
53,USGS,02085070,2018-11-03 13:00,EDT,70.1,P,1.95,P
54,USGS,02085070,2018-11-03 13:15,EDT,70.1,P,1.95,P
55,USGS,02085070,2018-11-03 13:30,EDT,71.5,P,1.96,P
56,USGS,02085070,2018-11-03 13:45,EDT,70.1,P,1.95,P
57,USGS,02085070,2018-11-03 14:00,EDT,70.1,P,1.95,P
58,USGS,02085070,2018-11-03 14:15,EDT,70.1,P,1.95,P
59,USGS,02085070,2018-11-03 14:30,EDT,70.1,P,1.95,P
60,USGS,02085070,2018-11-03 14:45,EDT,70.1,P,1.95,P
61,USGS,02085070,2018-11-03 15:00,EDT,68.7,P,1.94,P
62,USGS,02085070,2018-11-03 15:15,EDT,70.1,P,1.95,P
63,USGS,02085070,2018-11-03 15:30,EDT,70.1,P,1.95,P
64,USGS,02085070,2018-11-03 15:45,EDT,70.1,P,1.95,P
65,USGS,02085070,2018-11-03 16:00,EDT,70.1,P,1.95,P
66,USGS,02085070,2018-11-03 16:15,EDT,70.1,P,1.95,P
67,USGS,02085070,2018-11-03 16:30,EDT,68.7,P,1.94,P
68,USGS,02085070,2018-11-03 16:45,EDT,70.1,P,1.95,P
69,USGS,02085070,2018-11-03 17:00,EDT,68.7,P,1.94,P
70,USGS,02085070,2018-11-03 17:15,EDT,70.1,P,1.95,P
71,USGS,02085070,2018-11-03 17:30,EDT,70.1,P,1.95,P
72,USGS,02085070,2018-11-03 17:45,EDT,70.1,P,1.95,P
73,USGS,02085070,2018-11-03 18:00,EDT,68.7,P,1.94,P
74,USGS,02085070,2018-11-03 18:15,EDT,68.7,P,1.94,P
75,USGS,02085070,2018-11-03 18:30,EDT,68.7,P,1.94,P
76,USGS,02085070,2018-11-03 18:45,EDT,68.7,P,1.94,P
77,USGS,02085070,2018-11-03 19:00,EDT,68.7,P,1.94,P
78,USGS,02085070,2018-11-03 19:15,EDT,68.7,P,1.94,P
79,USGS,02085070,2018-11-03 19:30,EDT,68.7,P,1.94,P
80,USGS,02085070,2018-11-03 19:45,EDT,67.3,P,1.93,P
81,USGS,02085070,2018-11-03 20:00,EDT,67.3,P,1.93,P
82,USGS,02085070,2018-11-03 20:15,EDT,67.3,P,1.93,P
83,USGS,02085070,2018-11-03 20:30,EDT,67.3,P,1.93,P
84,USGS,02085070,2018-11-03 20:45,EDT,67.3,P,1.93,P
85,USGS,02085070,2018-11-03 21:00,EDT,66.0,P,1.92,P
86,USGS,02085070,2018-11-03 21:15,EDT,66.0,P,1.92,P
87,USGS,02085070,2018-11-03 21:30,EDT,66.0,P,1.92,P
88,USGS,02085070,2018-11-03 21:45,EDT,66.0,P,1.92,P
89,USGS,02085070,2018-11-03 22:00,EDT,66.0,P,1.92,P
90,USGS,02085070,2018-11-03 22:15,EDT,66.0,P,1.92,P
91,USGS,02085070,2018-11-03 22:30,EDT,64.6,P,1.91,P
92,USGS,02085070,2018-11-03 22:45,EDT,64.6,P,1.91,P
93,USGS,02085070,2018-11-03 23:00,EDT,64.6,P,1.91,P
94,USGS,02085070,2018-11-03 23:15,EDT,64.6,P,1.91,P
95,USGS,02085070,2018-11-03 23:30,EDT,64.6,P,1.91,P
96,USGS,02085070,2018-11-03 23:45,EDT,64.6,P,1.91,P
97,USGS,02085070,2018-11-04 00:00,EDT,64.6,P,1.91,P
98,USGS,02085070,2018-11-04 00:15,EDT,63.3,P,1.90,P
99,USGS,02085070,2018-11-04 00:30,EDT,63.3,P,1.90,P
100,USGS,02085070,2018-11-04 00:45,EDT,63.3,P,1.90,P
101,USGS,02085070,2018-11-04 01:00,EDT,63.3,P,1.90,P
102,USGS,02085070,2018-11-04 01:00,EST,63.3,P,1.90,P
103,USGS,02085070,2018-11-04 01:15,EDT,63.3,P,1.90,P
104,USGS,02085070,2018-11-04 01:15,EST,63.3,P,1.90,P
105,USGS,02085070,2018-11-04 01:30,EDT,63.3,P,1.90,P
106,USGS,02085070,2018-11-04 01:30,EST,63.3,P,1.90,P
107,USGS,02085070,2018-11-04 01:45,EDT,63.3,P,1.90,P
108,USGS,02085070,2018-11-04 01:45,EST,63.3,P,1.90,P
109,USGS,02085070,2018-11-04 02:00,EST,63.3,P,1.90,P
110,USGS,02085070,2018-11-04 02:15,EST,63.3,P,1.90,P
111,USGS,02085070,2018-11-04 02:30,EST,63.3,P,1.90,P
112,USGS,02085070,2018-11-04 02:45,EST,63.3,P,1.90,P
113,USGS,02085070,2018-11-04 03:00,EST,63.3,P,1.90,P
114,USGS,02085070,2018-11-04 03:15,EST,63.3,P,1.90,P
115,USGS,02085070,2018-11-04 03:30,EST,63.3,P,1.90,P
116,USGS,02085070,2018-11-04 03:45,EST,63.3,P,1.90,P
117,USGS,02085070,2018-11-04 04:00,EST,63.3,P,1.90,P
118,USGS,02085070,2018-11-04 04:15,EST,63.3,P,1.90,P
119,USGS,02085070,2018-11-04 04:30,EST,63.3,P,1.90,P
120,USGS,02085070,2018-11-04 04:45,EST,63.3,P,1.90,P
121,USGS,02085070,2018-11-04 05:00,EST,63.3,P,1.90,P
122,USGS,02085070,2018-11-04 05:15,EST,63.3,P,1.90,P
123,USGS,02085070,2018-11-04 05:30,EST,63.3,P,1.90,P
124,USGS,02085070,2018-11-04 05:45,EST,62.0,P,1.89,P
125,USGS,02085070,2018-11-04 06:00,EST,62.0,P,1.89,P
126,USGS,02085070,2018-11-04 06:15,EST,63.3,P,1.90,P
127,USGS,02085070,2018-11-04 06:30,EST,62.0,P,1.89,P
128,USGS,02085070,2018-11-04 06:45,EST,62.0,P,1.89,P
129,USGS,02085070,2018-11-04 07:00,EST,62.0,P,1.89,P
130,USGS,02085070,2018-11-04 07:15,EST,62.0,P,1.89,P
131,USGS,02085070,2018-11-04 07:30,EST,62.0,P,1.89,P
132,USGS,02085070,2018-11-04 07:45,EST,62.0,P,1.89,P
133,USGS,02085070,2018-11-04 08:00,EST,62.0,P,1.89,P
134,USGS,02085070,2018-11-04 08:15,EST,62.0,P,1.89,P
135,USGS,02085070,2018-11-04 08:30,EST,62.0,P,1.89,P
136,USGS,02085070,2018-11-04 08:45,EST,62.0,P,1.89,P
137,USGS,02085070,2018-11-04 09:00,EST,62.0,P,1.89,P
138,USGS,02085070,2018-11-04 09:15,EST,62.0,P,1.89,P
139,USGS,02085070,2018-11-04 09:30,EST,62.0,P,1.89,P
140,USGS,02085070,2018-11-04 09:45,EST,62.0,P,1.89,P
141,USGS,02085070,2018-11-04 10:00,EST,62.0,P,1.89,P
142,USGS,02085070,2018-11-04 10:15,EST,62.0,P,1.89,P
143,USGS,02085070,2018-11-04 10:30,EST,62.0,P,1.89,P
144,USGS,02085070,2018-11-04 10:45,EST,62.0,P,1.89,P
145,USGS,02085070,2018-11-04 11:00,EST,62.0,P,1.89,P
146,USGS,02085070,2018-11-04 11:15,EST,62.0,P,1.89,P
147,USGS,02085070,2018-11-04 11:30,EST,62.0,P,1.89,P
148,USGS,02085070,2018-11-04 11:45,EST,62.0,P,1.89,P
149,USGS,02085070,2018-11-04 12:00,EST,62.0,P,1.89,P
150,USGS,02085070,2018-11-04 12:15,EST,62.0,P,1.89,P
151,USGS,02085070,2018-11-04 12:30,EST,62.0,P,1.89,P
152,USGS,02085070,2018-11-04 12:45,EST,62.0,P,1.89,P
153,USGS,02085070,2018-11-04 13:00,EST,62.0,P,1.89,P
154,USGS,02085070,2018-11-04 13:15,EST,62.0,P,1.89,P
155,USGS,02085070,2018-11-04 13:30,EST,62.0,P,1.89,P
156,USGS,02085070,2018-11-04 13:45,EST,62.0,P,1.89,P
157,USGS,02085070,2018-11-04 14:00,EST,62.0,P,1.89,P
158,USGS,02085070,2018-11-04 14:15,EST,62.0,P,1.89,P
